,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,92,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1,2,91,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
3,2,5,3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,92,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,6,81,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,4,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,9,9,0,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,1,2,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,1,98,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,4,2,0,0,0
15,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,92,3,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,2,5,0,0,0
17,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,87,2,0,0,0
18,2,2,2,3,0,0,0,1,0,0,0,0,0,0,1,0,1,2,86,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99
